logEcoli,turbidity,Previous24hrrainfall,windspeed,airtemp,dewpoint,clouds,atmpressure,cuyahogariverflow,rockyriverflow,ucomp,vcomp
1.361727836,17.1,0,15,74,63,4,29.05,491,228,9.641814145,11.49066665
0.954242509,3.8,0,11,83,65,3,29.23,682,164,5.5,9.526279442
1.832508913,6.7,0,8,80,66,4,29.22,398,109,7.517540966,2.736161147
1.73239376,3.8,0,16,84,68,4,29.12,333,77,10.28460175,12.25671109
1.819543936,3.3,0.03,14,85,66,2,29.05,405,62,7,12.12435565
1.568201724,3.1,0.66,11,69,64,4,29,992,62,3.762221577,10.33661883
0.903089987,4.4,0,14,80,55,4,29.31,388,296,-4.788282007,13.15569669
1.643452676,33.6,0,14,82,66,4,29.23,341,132,10.7246222,8.999026536
1.491361694,6.2,0.69,6,71,65,5,29.16,311,141,3.856725658,4.596266659
0.903089987,3.4,0,7,71,54,2,29.11,300,425,6.893654271,-1.215537244
2.58546073,92,0,10,64,45,4,29.09,264,108,1.736481777,-9.84807753
1.799340549,24,0,11,58,48,5,29.01,258,85,10.33661883,3.762221577
1.113943352,11.2,0,9,60,50,5,29.1,258,65,7.794228634,4.5
0.954242509,5.6,0,0,70,50,2,29.16,560,57,0,0
0.698970004,4.4,0,8,69,53,4,29.18,622,53,6.128355545,5.142300877
1.568201724,6,1.13,9,67,58,4,29.1,327,205,8.457233587,-3.07818129
2.086359831,5.9,0.53,10,67,53,3,29.13,436,605,7.660444431,6.427876097
0.84509804,4,0.04,6,69,55,2,29.35,285,521,-3.856725658,-4.596266659
1.176091259,3.7,0,8,74,56,4,29.34,262,260,7.878462024,1.389185421
1.770852012,6.2,0.21,11,75,66,4,29.11,262,130,10.83288528,1.910129954
2.209515015,9.4,0.25,10,73,65,4,29.06,264,291,7.660444431,6.427876097
2.403120521,9.6,0.16,13,72,64,5,28.96,268,1470,8.356238926,9.958577761
1.278753601,2.6,0.02,11,71,61,4,28.91,425,382,10.33661883,3.762221577
1.301029996,5.8,0.26,11,64,57,4,28.97,316,202,10.83288528,1.910129954
2.161368002,40.4,0.17,6,69,51,3,29.2,271,171,3,5.196152423
1.041392685,8.1,0,11,73,49,3,29.16,258,133,10.33661883,3.762221577
1.672097858,6.7,0.25,6,69,63,5,29.07,249,92,5.196152423,3
1.792391689,24,0.37,3,65,58,3,29.25,246,1250,-2.298133329,-1.928362829
1.748188027,25.4,0,8,70,55,1,29.23,247,898,-5.142300877,-6.128355545
2.198657087,4.1,0,13,78,64,3,29.08,239,94,12.21600407,-4.446261863
